label,node,genus,species,scientificname.y,virus_name,vtaxid,interaction,uid,mostaxid,virus_code
Culex_quinquefasciatus,37,Culex,quinquefasciatus,Culex quinquefasciatus,Murray Valley encephalitis virus,11079,1,7176,7176,MVEV
Culex_quinquefasciatus,37,Culex,quinquefasciatus,Culex quinquefasciatus,Saint Louis encephalitis virus,11080,1,7176,7176,SLEV
Culex_quinquefasciatus,37,Culex,quinquefasciatus,Culex quinquefasciatus,West Nile virus,11082,1,7176,7176,WNV
Culex_quinquefasciatus,37,Culex,quinquefasciatus,Culex quinquefasciatus,Yellow fever virus,11089,1,7176,7176,YFV
Culex_pipiens,38,Culex,pipiens,Culex pipiens,Japanese encephalitis virus,11072,1,7175,7175,JEV
Culex_pipiens,38,Culex,pipiens,Culex pipiens,Murray Valley encephalitis virus,11079,1,7175,7175,MVEV
Culex_pipiens,38,Culex,pipiens,Culex pipiens,Saint Louis encephalitis virus,11080,1,7175,7175,SLEV
Culex_pipiens,38,Culex,pipiens,Culex pipiens,West Nile virus,11082,1,7175,7175,WNV
Culex_pipiens,38,Culex,pipiens,Culex pipiens,Yellow fever virus,11089,1,7175,7175,YFV
Culiseta_ochroptera,39,Culiseta,ochroptera,Culiseta ochroptera,West Nile virus,11082,1,866105,866105,WNV
Culiseta_litorea,40,Culiseta,litorea,Culiseta litorea,NA,NA,0,2579876,2579876,NA
Culiseta_fumipennis,41,Culiseta,fumipennis,Culiseta fumipennis,NA,NA,0,1538645,1538645,NA
Culiseta_morsitans,42,Culiseta,morsitans,Culiseta morsitans,West Nile virus,11082,1,329107,329107,WNV
Aedes_cinereus,43,Aedes,cinereus,Aedes cinereus,West Nile virus,11082,1,120872,120872,WNV
Aedes_rossicus,44,Aedes,rossicus,Aedes rossicus,Japanese encephalitis virus,11072,1,761982,761982,JEV
Aedes_rossicus,44,Aedes,rossicus,Aedes rossicus,Murray Valley encephalitis virus,11079,1,761982,761982,MVEV
Aedes_rossicus,44,Aedes,rossicus,Aedes rossicus,West Nile virus,11082,1,761982,761982,WNV
Aedes_rossicus,44,Aedes,rossicus,Aedes rossicus,Yellow fever virus,11089,1,761982,761982,YFV
Culiseta_annulata,45,Culiseta,annulata,Culiseta annulata,Japanese encephalitis virus,11072,1,332058,332058,JEV
Culiseta_annulata,45,Culiseta,annulata,Culiseta annulata,West Nile virus,11082,1,332058,332058,WNV
Culiseta_subochrea,46,Culiseta,subochrea,Culiseta subochrea,NA,NA,0,1788510,1788510,NA
Culiseta_alaskaensis,47,Culiseta,alaskaensis,Culiseta alaskaensis,NA,NA,0,1788509,1788509,NA
Culiseta_glaphyroptera,48,Culiseta,glaphyroptera,Culiseta glaphyroptera,NA,NA,0,2025599,2025599,NA
Culiseta_bergrothi,49,Culiseta,bergrothi,Culiseta bergrothi,NA,NA,0,866104,866104,NA
Aedes_japonicus,50,Aedes,japonicus,Aedes japonicus,Japanese encephalitis virus,11072,1,140438,140438,JEV
Aedes_japonicus,50,Aedes,japonicus,Aedes japonicus,Saint Louis encephalitis virus,11080,1,140438,140438,SLEV
Aedes_japonicus,50,Aedes,japonicus,Aedes japonicus,West Nile virus,11082,1,140438,140438,WNV
Ochlerotatus_nigripes,51,Ochlerotatus,nigripes,Ochlerotatus nigripes,NA,NA,0,508662,508662,NA
Ochlerotatus_cataphylla,52,Ochlerotatus,cataphylla,Ochlerotatus cataphylla,West Nile virus,11082,1,120871,120871,WNV
Ochlerotatus_leucomelas,53,Ochlerotatus,leucomelas,Ochlerotatus leucomelas,NA,NA,0,1788511,1788511,NA
Ochlerotatus_pionips,54,Ochlerotatus,pionips,Ochlerotatus pionips,NA,NA,0,1315219,1315219,NA
Ochlerotatus_communis,55,Ochlerotatus,communis,Ochlerotatus communis,Japanese encephalitis virus,11072,1,329099,329099,JEV
Ochlerotatus_communis,55,Ochlerotatus,communis,Ochlerotatus communis,Saint Louis encephalitis virus,11080,1,329099,329099,SLEV
Ochlerotatus_communis,55,Ochlerotatus,communis,Ochlerotatus communis,West Nile virus,11082,1,329099,329099,WNV
Ochlerotatus_punctor,56,Ochlerotatus,punctor,Ochlerotatus punctor,Japanese encephalitis virus,11072,1,46209,46209,JEV
Ochlerotatus_punctor,56,Ochlerotatus,punctor,Ochlerotatus punctor,West Nile virus,11082,1,46209,46209,WNV
Ochlerotatus_hexodontus,57,Ochlerotatus,hexodontus,Ochlerotatus hexodontus,NA,NA,0,767797,767797,NA
Ochlerotatus_berlandi,58,Ochlerotatus,berlandi,Ochlerotatus berlandi,NA,NA,0,2579877,2579877,NA
Aedes_koreicus,59,Aedes,koreicus,Aedes koreicus,Japanese encephalitis virus,11072,1,586676,586676,JEV
Aedes_geniculatus,60,Aedes,geniculatus,Aedes geniculatus,Japanese encephalitis virus,11072,1,120874,120874,JEV
Aedes_geniculatus,60,Aedes,geniculatus,Aedes geniculatus,West Nile virus,11082,1,120874,120874,WNV
Ochlerotatus_flavescens,61,Ochlerotatus,flavescens,Ochlerotatus flavescens,West Nile virus,11082,1,662894,662894,WNV
Ochlerotatus_riparius,62,Ochlerotatus,riparius,Ochlerotatus riparius,NA,NA,0,743694,743694,NA
Ochlerotatus_euedes,63,Ochlerotatus,euedes,Ochlerotatus euedes,NA,NA,0,743690,743690,NA
Ochlerotatus_annulipes,64,Ochlerotatus,annulipes,Ochlerotatus annulipes,Japanese encephalitis virus,11072,1,866103,866103,JEV
Ochlerotatus_annulipes,64,Ochlerotatus,annulipes,Ochlerotatus annulipes,West Nile virus,11082,1,866103,866103,WNV
Ochlerotatus_cantans,65,Ochlerotatus,cantans,Ochlerotatus cantans,Japanese encephalitis virus,11072,1,120869,120869,JEV
Ochlerotatus_cantans,65,Ochlerotatus,cantans,Ochlerotatus cantans,West Nile virus,11082,1,120869,120869,WNV
Ochlerotatus_excrucians,66,Ochlerotatus,excrucians,Ochlerotatus excrucians,Japanese encephalitis virus,11072,1,329103,329103,JEV
Ochlerotatus_excrucians,66,Ochlerotatus,excrucians,Ochlerotatus excrucians,West Nile virus,11082,1,329103,329103,WNV
Ochlerotatus_detritus,67,Ochlerotatus,detritus,Ochlerotatus detritus,Japanese encephalitis virus,11072,1,120873,120873,JEV
Ochlerotatus_detritus,67,Ochlerotatus,detritus,Ochlerotatus detritus,West Nile virus,11082,1,120873,120873,WNV
Ochlerotatus_pulcritarsis,68,Ochlerotatus,pulcritarsis,Ochlerotatus pulcritarsis,NA,NA,0,1529939,1529939,NA
Ochlerotatus_hungaricus,69,Ochlerotatus,hungaricus,Ochlerotatus hungaricus,NA,NA,0,1810856,1810856,NA
Ochlerotatus_pullatus,70,Ochlerotatus,pullatus,Ochlerotatus pullatus,West Nile virus,11082,1,120876,120876,WNV
Ochlerotatus_intrudens,71,Ochlerotatus,intrudens,Ochlerotatus intrudens,Japanese encephalitis virus,11072,1,228921,228921,JEV
Ochlerotatus_intrudens,71,Ochlerotatus,intrudens,Ochlerotatus intrudens,West Nile virus,11082,1,228921,228921,WNV
Ochlerotatus_diantaeus,72,Ochlerotatus,diantaeus,Ochlerotatus diantaeus,NA,NA,0,1129559,1129559,NA
Acartomyia_phoeniciae,73,Acartomyia,phoeniciae,Acartomyia phoeniciae,NA,NA,0,1548036,1548036,NA
Ochlerotatus_caspius,74,Ochlerotatus,caspius,Ochlerotatus caspius,Japanese encephalitis virus,11072,1,120870,120870,JEV
Ochlerotatus_caspius,74,Ochlerotatus,caspius,Ochlerotatus caspius,West Nile virus,11082,1,120870,120870,WNV
Ochlerotatus_caspius,74,Ochlerotatus,caspius,Ochlerotatus caspius,Yellow fever virus,11089,1,120870,120870,YFV
Ochlerotatus_dorsalis,75,Ochlerotatus,dorsalis,Ochlerotatus dorsalis,Japanese encephalitis virus,11072,1,663928,663928,JEV
Ochlerotatus_dorsalis,75,Ochlerotatus,dorsalis,Ochlerotatus dorsalis,Saint Louis encephalitis virus,11080,1,663928,663928,SLEV
Ochlerotatus_dorsalis,75,Ochlerotatus,dorsalis,Ochlerotatus dorsalis,West Nile virus,11082,1,663928,663928,WNV
Ochlerotatus_dorsalis,75,Ochlerotatus,dorsalis,Ochlerotatus dorsalis,Yellow fever virus,11089,1,663928,663928,YFV
Acartomyia_zammitii,76,Acartomyia,zammitii,Acartomyia zammitii,NA,NA,0,1548034,1548034,NA
Coquillettidia_buxtoni,77,Coquillettidia,buxtoni,Coquillettidia buxtoni,NA,NA,0,2547966,2547966,NA
Coquillettidia_richiardii,78,Coquillettidia,richiardii,Coquillettidia richiardii,West Nile virus,11082,1,1245328,1245328,WNV
Anopheles_pharoensis,79,Anopheles,pharoensis,Anopheles pharoensis,NA,NA,0,221566,221566,NA
Anopheles_arabiensis,80,Anopheles,arabiensis,Anopheles arabiensis,NA,NA,0,7173,7173,NA
Anopheles_coluzzii,81,Anopheles,coluzzii,Anopheles coluzzii,NA,NA,0,1518534,1518534,NA
Anopheles_fluviatilis,82,Anopheles,fluviatilis,Anopheles fluviatilis,NA,NA,0,111615,111615,NA
Anopheles_culicifacies,83,Anopheles,culicifacies,Anopheles culicifacies,NA,NA,0,139723,139723,NA
Anopheles_dthali,84,Anopheles,dthali,Anopheles dthali,NA,NA,0,262009,262009,NA
Anopheles_sacharovi,85,Anopheles,sacharovi,Anopheles sacharovi,NA,NA,0,72408,72408,NA
Anopheles_messeae,86,Anopheles,messeae,Anopheles messeae,NA,NA,0,41430,41430,NA
Anopheles_melanoon,87,Anopheles,melanoon,Anopheles melanoon,NA,NA,0,73143,73143,NA
Anopheles_labranchiae,88,Anopheles,labranchiae,Anopheles labranchiae,NA,NA,0,41428,41428,NA
