"","KY225559","MK412767","JN112985","MG589413","AY842519","MK418782","MK418782","MN840073","MN481113","MG232621","MK765861","MG232625","MG232624","MH142328","MG232617","MK972064","MK972103","MK972128","AY445826","MN460356","AY842518","KY399843","MF288845","MK412765","AY129233","AY564229","FJ867653","KU056610","MK129245","KM068086","MF288853","MK562396","MK625346","MF288846","MF288848","KR014827","KF483838","MK412760","MG589414","MH187964","AY456391","MG232632","MK861166","MN335040","MG954356","HM140424","KX009741","MN947511","KF535065","KX009742"
"MK765861",0.716472842006823,0.707106781186548,0.691973526634884,0.694238585152651,0.695456778469341,0.683450995432661,0.684728018279078,0.687509134695234,0.695456778469341,0.571771874896866,0,0.534063074643431,0.578459492631407,0.671345086637351,0.606654547314163,0.702073928741439,0.668624575923897,0.668311541278118,0.694406687215202,0.763232776972177,0.728659471500348,0.670957898712742,0.759051342398754,0.714696695743359,0.702246883176783,0.726843784311631,0.707106781186548,0.791595462735466,0.711540095972181,0.716172622910463,0.684000835421378,0.722797272709228,0.667727393935178,0.716746461586019,0.67806350362081,0.716172622910463,0.69326773690888,0.686406472983644,0.71046597720222,0.752189785681919,0.711625081352714,0.59739210190634,0.664618530746054,0.707106781186548,0.616793954743961,0.591607978309962,0.608044661072815,0.599227301675549,0.596079990698694,0.589079727518385
"MG232625",0.718070330817254,0.695608343640252,0.694131242502585,0.689644659297497,0.696040264416823,0.679539329476823,0.679539329476823,0.676632341305974,0.683880331412088,0.616140917022745,0.534063074643431,0,0.608246142579934,0.678587576998251,0.601168452908109,0.692820323027551,0.660004591352258,0.661258162455821,0.713429769443457,0.776127494191744,0.739287864465897,0.672530162734718,0.753370803500884,0.711654138541487,0.672704723909101,0.740844501034221,0.70530981060383,0.773773942860369,0.703989469396047,0.73002337752741,0.704697551759464,0.730296743340221,0.661717328234048,0.685994340570035,0.666666666666667,0.736149555229554,0.690791562235773,0.6985354731357,0.749603069567329,0.75708039976433,0.714456269616293,0.600594943130797,0.647719252365604,0.723439345060322,0.630248001626349,0.597614304667197,0.598009944766586,0.641209658211706,0.611677741841197,0.599295360884318
"MG232624",0.707106781186548,0.704360725060499,0.680613909729773,0.691214711777591,0.685674305870756,0.680413817439772,0.680413817439772,0.683309420911114,0.688247201611685,0.590986214629709,0.578459492631407,0.608246142579934,0,0.599873724085732,0.280807846391411,0.647280721183483,0.652862549237373,0.648007268410949,0.692924530040704,0.759284173097276,0.715859983526272,0.596657355607052,0.731581347223693,0.673145600891813,0.696552356384777,0.70586515286922,0.640628304305591,0.784464540552736,0.688112078963556,0.657741676857395,0.692465303622724,0.688112078963556,0.689331056143954,0.586301969977929,0.579833507613801,0.687406337276194,0.612788873986492,0.699543924373345,0.714589601010496,0.728330934274241,0.703348879748244,0.273690275751987,0.587021800783067,0.707106781186548,0.477856104588937,0.396837895066273,0.448819394546251,0.387298334620742,0.325925000923688,0.471849032460555
"MH142328",0.704807240849047,0.67710542812574,0.695379487459148,0.68329160482077,0.692820323027551,0.679554280343782,0.680864273508603,0.691973526634884,0.690741762894452,0.688247201611685,0.671345086637351,0.678587576998251,0.599873724085732,0,0.599144689515278,0.732743305447312,0.715096941934194,0.64356748245822,0.723958393574527,0.770875606876982,0.730739750201309,0.674702809092281,0.731458711844871,0.70464727188699,0.695221787153807,0.735272058492637,0.644278153923165,0.806526773822918,0.729003800319658,0.736162674869467,0.697285376694309,0.742046434795293,0.691163516376137,0.685674305870756,0.664211164155071,0.744888538084242,0.661616088873754,0.717200806472714,0.726483157256779,0.753486519775816,0.734803444627488,0.623119882750012,0.612372435695794,0.71055330094606,0.627389050969648,0.617490861494141,0.608163640559537,0.597614304667197,0.595303254578942,0.606030302272689
"MG232617",0.695177225939317,0.692275438693926,0.666666666666667,0.682425066303351,0.676891289781319,0.669069076854467,0.669069076854467,0.677763939434058,0.682425066303351,0.616669838844778,0.606654547314163,0.601168452908109,0.280807846391411,0.599144689515278,0,0.662867965279617,0.658585559938142,0.643920916216785,0.71443450831176,0.753984847782057,0.703452458112659,0.604217978116644,0.724980875350911,0.654240248708609,0.683130051063973,0.707106781186548,0.643711613134312,0.781861509792303,0.680136040813605,0.681295693899204,0.688700443150182,0.687596622771126,0.673739500605217,0.589455364823024,0.588075958812578,0.69200667586131,0.623429200159357,0.696162077554686,0.670820393249937,0.733437819097678,0.704697551759464,0.326743884160513,0.559761854124889,0.692820323027551,0.474935690145978,0.395874245070891,0.448791073398121,0.436020720196947,0.328654738718659,0.487058802786956
"MK972064",0.731261377632457,0.740115329281148,0.737027731190089,0.738926430667255,0.721283038192221,0.725476250110012,0.724355822800294,0.73251987403323,0.730435887238472,0.724461676347959,0.702073928741439,0.692820323027551,0.647280721183483,0.732743305447312,0.662867965279617,0,0.55240117561744,0.699205898780101,0.739099896303888,0.78796923949356,0.764089219482477,0.736788397613007,0.770991079443883,0.761577310586391,0.730010520815671,0.769309258162072,0.726843784311631,0.799142842981839,0.754806556466927,0.750757193529548,0.700446286306095,0.807494138446671,0.720696180838102,0.683632907260932,0.642910050732864,0.75316098012862,0.673721536853215,0.703875507091476,0.750757193529548,0.754193171176683,0.749753411139151,0.668202413153866,0.685762546564239,0.766509681601042,0.700876644050462,0.665512264646162,0.671698184587729,0.67898228927752,0.665779551614134,0.677334010667683
"MK972103",0.734188979247898,0.717821130625533,0.716316001658632,0.720275636462322,0.72152564121889,0.713696921585171,0.713696921585171,0.716180933250315,0.716180933250315,0.704443469345667,0.668624575923897,0.660004591352258,0.652862549237373,0.715096941934194,0.658585559938142,0.55240117561744,0,0.674199862463242,0.737209780774486,0.806789372084865,0.738548945875996,0.683331653562405,0.736716315394216,0.724907025816712,0.728062626406496,0.744282765172199,0.682085509090488,0.769358021148725,0.730787369356826,0.736082999272624,0.72575309661889,0.762382736440893,0.723509297777934,0.655993802449733,0.619677335393187,0.739208070456872,0.682339391017705,0.668784514827255,0.808372034730701,0.754886045159447,0.719802710490163,0.64018439966448,0.679697215010895,0.740131148950684,0.664300795241662,0.635609943282828,0.643267520902677,0.665062171761176,0.643476883811688,0.65767749128253
"MK972128",0.718838385546651,0.705781368997489,0.699086407042276,0.711098008265029,0.701729465267237,0.692275438693926,0.692275438693926,0.692498305662711,0.692498305662711,0.682575337167328,0.668311541278118,0.661258162455821,0.648007268410949,0.64356748245822,0.643920916216785,0.699205898780101,0.674199862463242,0,0.746455338219052,0.7991784102357,0.757317246446102,0.68082252702501,0.719987744993744,0.730296743340221,0.725340887435056,0.710925567450541,0.678154147763134,0.793492047615872,0.761386987626881,0.743716043334789,0.671550736844851,0.736082999272624,0.708391263228297,0.641500299099584,0.598099972609741,0.760011400256506,0.672745276383678,0.697982440452113,0.721687836487032,0.761141112644649,0.754548252727041,0.619677335393187,0.658946527660469,0.707106781186548,0.640592355353271,0.621202154038903,0.657267069006199,0.645233702322069,0.622896460095897,0.654653670707977
"AY445826",0.734630886692453,0.739420184760822,0.712497762259286,0.700999637232782,0.715831928518932,0.702013508778269,0.702013508778269,0.698556203344276,0.723746864455746,0.73621017383231,0.694406687215202,0.713429769443457,0.692924530040704,0.723958393574527,0.71443450831176,0.739099896303888,0.737209780774486,0.746455338219052,0,0.756147643823122,0.719342615704066,0.687295926517635,0.726165211566425,0.766210579204825,0.69780790120446,0.716490599119035,0.744023809142845,0.804399666539844,0.765923515044227,0.674967307062827,0.748896896005425,0.763105049956476,0.717093574610984,0.768155005061636,0.731405774720731,0.743150541460293,0.721839754778682,0.754615428178118,0.740724352489967,0.699753651232913,0.702027446605417,0.701047485404383,0.718070330817254,0.728267692387697,0.677772085586298,0.701508064578569,0.707106781186548,0.693888666488711,0.677392618422781,0.672318662466638
"MN460356",0.74070820749378,0.763762615825973,0.746753473825359,0.747908252807398,0.736277979541623,0.735311100622153,0.736128261075423,0.736489275171173,0.743154640956601,0.795256205529031,0.763232776972177,0.776127494191744,0.759284173097276,0.770875606876982,0.753984847782057,0.78796923949356,0.806789372084865,0.7991784102357,0.756147643823122,0,0.750404421706392,0.744023809142845,0.776616481455892,0.766090456078515,0.758786910639328,0.727336137657725,0.724336715298931,0.814345071045955,0.780648297702546,0.777701277553556,0.780189497605494,0.803454980757034,0.751469149302179,0.731009575860672,0.737613007157729,0.784123196911707,0.763934692569359,0.780319996811492,0.725800051175056,0.7164167865483,0.742726862640812,0.7456086127385,0.728868986855663,0.721179937680301,0.746989779319318,0.723540580608188,0.705071937309669,0.702728368926307,0.732309772243727,0.726843784311631
