"","label","node","genus","species","scientificname.y","virus_name","vtaxid","interaction","uid","mostaxid","virus_code"
"82","Culex_quinquefasciatus",37,"Culex","quinquefasciatus","Culex quinquefasciatus","Murray Valley encephalitis virus",11079,1,7176,7176,"MVEV"
"83","Culex_quinquefasciatus",37,"Culex","quinquefasciatus","Culex quinquefasciatus","Saint Louis encephalitis virus",11080,1,7176,7176,"SLEV"
"84","Culex_quinquefasciatus",37,"Culex","quinquefasciatus","Culex quinquefasciatus","West Nile virus",11082,1,7176,7176,"WNV"
"85","Culex_quinquefasciatus",37,"Culex","quinquefasciatus","Culex quinquefasciatus","Yellow fever virus",11089,1,7176,7176,"YFV"
"86","Culex_pipiens",38,"Culex","pipiens","Culex pipiens","Japanese encephalitis virus",11072,1,7175,7175,"JEV"
"87","Culex_pipiens",38,"Culex","pipiens","Culex pipiens","Murray Valley encephalitis virus",11079,1,7175,7175,"MVEV"
"88","Culex_pipiens",38,"Culex","pipiens","Culex pipiens","Saint Louis encephalitis virus",11080,1,7175,7175,"SLEV"
"89","Culex_pipiens",38,"Culex","pipiens","Culex pipiens","West Nile virus",11082,1,7175,7175,"WNV"
"90","Culex_pipiens",38,"Culex","pipiens","Culex pipiens","Yellow fever virus",11089,1,7175,7175,"YFV"
"91","Culiseta_ochroptera",39,"Culiseta","ochroptera","Culiseta ochroptera","West Nile virus",11082,1,866105,866105,"WNV"
"92","Culiseta_litorea",40,"Culiseta","litorea","Culiseta litorea",NA,NA,NA,2579876,2579876,NA
"93","Culiseta_fumipennis",41,"Culiseta","fumipennis","Culiseta fumipennis",NA,NA,NA,1538645,1538645,NA
"94","Culiseta_morsitans",42,"Culiseta","morsitans","Culiseta morsitans","West Nile virus",11082,1,329107,329107,"WNV"
"95","Aedes_cinereus",43,"Aedes","cinereus","Aedes cinereus","West Nile virus",11082,1,120872,120872,"WNV"
"96","Aedes_rossicus",44,"Aedes","rossicus","Aedes rossicus","Japanese encephalitis virus",11072,1,761982,761982,"JEV"
"97","Aedes_rossicus",44,"Aedes","rossicus","Aedes rossicus","Murray Valley encephalitis virus",11079,1,761982,761982,"MVEV"
"98","Aedes_rossicus",44,"Aedes","rossicus","Aedes rossicus","West Nile virus",11082,1,761982,761982,"WNV"
"99","Aedes_rossicus",44,"Aedes","rossicus","Aedes rossicus","Yellow fever virus",11089,1,761982,761982,"YFV"
"100","Culiseta_annulata",45,"Culiseta","annulata","Culiseta annulata","Japanese encephalitis virus",11072,1,332058,332058,"JEV"
"101","Culiseta_annulata",45,"Culiseta","annulata","Culiseta annulata","West Nile virus",11082,1,332058,332058,"WNV"
"102","Culiseta_subochrea",46,"Culiseta","subochrea","Culiseta subochrea",NA,NA,NA,1788510,1788510,NA
"103","Culiseta_alaskaensis",47,"Culiseta","alaskaensis","Culiseta alaskaensis",NA,NA,NA,1788509,1788509,NA
"104","Culiseta_glaphyroptera",48,"Culiseta","glaphyroptera","Culiseta glaphyroptera",NA,NA,NA,2025599,2025599,NA
"105","Culiseta_bergrothi",49,"Culiseta","bergrothi","Culiseta bergrothi",NA,NA,NA,866104,866104,NA
"106","Aedes_japonicus",50,"Aedes","japonicus","Aedes japonicus","Japanese encephalitis virus",11072,1,140438,140438,"JEV"
"107","Aedes_japonicus",50,"Aedes","japonicus","Aedes japonicus","Saint Louis encephalitis virus",11080,1,140438,140438,"SLEV"
"108","Aedes_japonicus",50,"Aedes","japonicus","Aedes japonicus","West Nile virus",11082,1,140438,140438,"WNV"
"109","Ochlerotatus_nigripes",51,"Ochlerotatus","nigripes","Ochlerotatus nigripes",NA,NA,NA,508662,508662,NA
"110","Ochlerotatus_cataphylla",52,"Ochlerotatus","cataphylla","Ochlerotatus cataphylla","West Nile virus",11082,1,120871,120871,"WNV"
"111","Ochlerotatus_leucomelas",53,"Ochlerotatus","leucomelas","Ochlerotatus leucomelas",NA,NA,NA,1788511,1788511,NA
"112","Ochlerotatus_pionips",54,"Ochlerotatus","pionips","Ochlerotatus pionips",NA,NA,NA,1315219,1315219,NA
"113","Ochlerotatus_communis",55,"Ochlerotatus","communis","Ochlerotatus communis","Japanese encephalitis virus",11072,1,329099,329099,"JEV"
"114","Ochlerotatus_communis",55,"Ochlerotatus","communis","Ochlerotatus communis","Saint Louis encephalitis virus",11080,1,329099,329099,"SLEV"
"115","Ochlerotatus_communis",55,"Ochlerotatus","communis","Ochlerotatus communis","West Nile virus",11082,1,329099,329099,"WNV"
"116","Ochlerotatus_punctor",56,"Ochlerotatus","punctor","Ochlerotatus punctor","Japanese encephalitis virus",11072,1,46209,46209,"JEV"
"117","Ochlerotatus_punctor",56,"Ochlerotatus","punctor","Ochlerotatus punctor","West Nile virus",11082,1,46209,46209,"WNV"
